id,product,size,on_hand,class,opened,notes
prime,Seachem Prime,500 mL,1,routine,,At these volumes a 500 mL bottle is effectively a lifetime supply. Measure the staging tank in drops - pouring from the bottle into four gallons overdoses badly.
stability,Seachem Stability,500 mL,1,routine,,The staging tank's young filter is the one that may genuinely benefit.
crushed-coral,CaribSea Florida Crushed Coral,aragonite 2.0-5.5 mm,1,routine,,"Passive buffer, in both filters. Aragonite dissolution is self-limiting - the rate falls as pH rises and effectively stalls around 7.2-7.5, so it is a buffer that stops working once it is no longer needed. Overshoot is not a realistic failure mode; undersupply is."
advatec,Advatec freshwater liquid test kit,5 tests,1,routine,2026-09-05,The primary test method and the reference for nitrogen. Closed the ammonia gap on 5 Sep 2026.
hanna-hi735,Hanna HI735 (GH),0-350 ppm CaCO3,1,routine,,The real GH number.
hanna-hi775,Hanna HI775 (KH),0-500 ppm CaCO3,1,routine,,The real KH number.
distilled-water,Distilled water,jugs,,routine,,"Top-off only. 0 TDS, no conditioner needed. Reading pH 5.5-5.8 in the jug is normal atmospheric CO2 and will not move tank pH - the KH absorbs it on contact."
bacnunn-strips,BACNUNN 9-in-1 test strips,200 strips,1,screen,2026-09-05,"Demoted to a rough screen since the Advatec kit arrived. Still the only thing here that measures free chlorine, copper and iron. No ammonia pad exists. Do not use for pH, hardness, alkalinity, nitrate or nitrite."
fluval-carbon,Fluval Carbon (premium bituminous),3 x 100 g,3,reserve,,"Tannins, odours, suspected aerosol or lotion contamination. One 100 g bag suits the display tank. Exhausts in 3-4 weeks. Remove before dosing any medication - it strips the medication out."
hydrogen-peroxide,Hydrogen peroxide 3% USP (10 volume),946 mL,1,reserve,,"Spot-treat algae only, by syringe, filter briefly off, applied directly to the target. Never freehand into the tank with shrimp present. It kills biofilm, which in the staging tank is a direct cost to animals already short of food."
melafix,API Melafix,473 mL,1,reserve,,"Invert-safe at label dose, but efficacy is weakly supported and the oil film cuts gas exchange - which matters more here than usual, because surface agitation does both the oxygenation and the evaporative cooling."
thrives,NilocG ThriveS,,1,paused,,"Shrimp-safe, ultra-low copper, NPK about 0.43-0.14-5.5. Potassium salts raise TDS and EC without contributing GH. Resume at half strength (2-3 pumps weekly) only on visible plant deficiency, and check the strips' iron pad first. Never use it to try to raise GH."
fluval-ammonia-remover,Fluval Ammonia Remover (clinoptilolite zeolite),3 x 180 g,3,emergency-only,,"Emergency ion exchange only. Not for routine use or cycling - it starves the nitrifying colony of its substrate and stalls maturation. Zero affinity for nitrite. NEVER WITH SALT. If deployed, remove and discard the bag once the cause is fixed."
aquarium-salt,API Aquarium Salt,482 g (17 oz),1,never,,"The one live hazard in the cabinet. Zeolite binds ammonium by exchanging it for sodium; sodium chloride reverses that exchange and releases the resin's entire accumulated ammonium load into the water at once. Separately, shrimp and snails tolerate salt badly and suckermouth catfish are sensitive to it. There is no scenario in these two tanks where it is the right tool."
ich-x,ICH-X (marine formulation),,1,never,,"Formaldehyde under 5%, methanol under 2%, malachite green chloride under 0.1%. Malachite green is toxic to invertebrates and formalin depletes dissolved oxygen quickly. Explicitly contraindicated with sulfinate/sulfoxylate conditioners, which includes Prime. If ich appears, treat affected fish in a separate bare hospital tank with no invertebrates."
stress-coat,API Stress Coat+,473 mL,1,never,,"Redundant with Prime for dechlorination, and the aloe vera can coat and foul fine shrimp gill filaments."
remineralizers,"Remineralizers (SaltyShrimp Mineral GH+, Seachem Equilibrium)",,0,do-not-buy,,"Not owned, and not needed while display GH sits inside the Neocaridina range. Revisit only if the HI735 reads below 70 ppm (4 dGH). This prohibits dosing the display tank; preparing matched water-change water is a separate question, and swapping display water into staging is a third."
