at,tank,metric,value,value_min,value_max,unit,instrument,note
2026-08-14T09:00,display,ph,6.78,,,,kactoily,
2026-08-16T09:00,display,ph,6.8,,,,kactoily,
2026-08-18T09:00,display,ph,6.79,,,,kactoily,
2026-08-20T09:00,display,ph,6.83,,,,kactoily,
2026-08-22T09:00,display,ph,6.85,,,,kactoily,
2026-08-24T09:00,display,ph,6.86,,,,kactoily,
2026-08-26T09:00,display,ph,6.88,,,,kactoily,
2026-08-28T09:00,display,ph,6.91,,,,kactoily,
2026-08-30T09:00,display,ph,6.93,,,,kactoily,
2026-09-01T09:00,display,ph,6.92,,,,kactoily,
2026-09-03T09:00,display,ph,6.97,,,,kactoily,
2026-09-05T09:00,display,ph,7.01,,,,kactoily,
2026-09-07T09:00,display,ph,7.03,,,,kactoily,
2026-09-09T09:00,display,ph,7.05,,,,kactoily,
